(0.1, 0.0, 0.5)
(0.3, 0.1, 0.7)
(0.4, 0.2, 0.9)
(0.6, 0.4, 1.5)
(0.7, 0.5, 1.8)
(0.7, 0.5, 1.8)
(0.7, 0.6, 2.5)
(0.7, 0.6, 2.5)
(0.8, 0.9, 3.0)
(0.8, 0.9, 3.0)
(0.8, 0.9, 3.0)
(0.9, 1.0, 3.3)
(0.8, 1.1, 3.4)
(0.8, 1.1, 3.4)
(0.6, 1.2, 3.3)
(-0.1, 1.2, 2.9)
(-0.1, 1.2, 2.9)
(-0.4, 0.9, 2.0)
(-0.4, 0.9, 2.0)
(-0.2, 0.8, 1.7)
(-0.1, 0.7, 1.3)
(-0.1, 0.7, 1.3)
(-0.1, 0.4, 0.9)
(-0.1, 0.1, 0.6)
(-0.1, 0.1, 0.6)
(-0.1, -0.3, 0.1)
(-0.1, -0.4, -0.2)
(0.0, -0.2, -0.7)
(0.0, -0.2, -0.7)
(0.0, -0.2, -0.7)
(0.1, -0.2, -1.1)
(0.1, -0.2, -1.2)
(-0.2, -0.5, -1.4)
(-0.2, -0.5, -1.4)
(-0.2, -0.5, -1.4)
(-0.4, -0.5, -1.7)
(-0.4, -0.5, -1.7)
(-0.4, -0.5, -1.9)
