(0.2, 2.7, -0.9)
(-0.1, 1.9, -0.7)
(-0.1, 1.9, -0.7)
(0.3, 1.1, -0.4)
(0.3, 1.1, -0.4)
(0.1, 0.6, -0.2)
(-0.2, 0.2, -0.1)
(-0.2, 0.2, -0.1)
(0.2, -1.0, 0.4)
(0.2, -1.0, 0.4)
(0.1, -1.5, 0.4)
(0.3, -1.8, 0.5)
(0.4, -1.9, 0.5)
(0.4, -2.6, 0.5)
(0.5, -2.9, 0.6)
(0.5, -2.9, 0.6)
(0.2, -3.1, 0.7)
(0.2, -3.1, 0.7)
(0.1, -2.9, 0.8)
(0.0, -2.8, 0.7)
(-0.2, -2.7, 0.7)
(-0.2, -2.7, 0.7)
(0.0, -2.3, 0.8)
(0.0, -2.0, 0.7)
(-0.1, -1.9, 0.6)
(-0.1, -1.6, 0.4)
(0.0, -1.2, 0.3)
(0.0, -0.9, 0.1)
(0.0, -0.9, 0.0)
(0.0, -0.7, -0.1)
(-0.1, 0.2, -0.2)
(-0.1, 0.2, -0.2)
(-0.3, 0.6, -0.1)
(-0.3, 0.6, -0.1)
(-0.1, 1.2, -0.2)
(-0.1, 1.2, -0.2)
(-0.1, 1.5, -0.2)
(-0.2, 1.8, -0.2)
(-0.2, 2.5, -0.4)
(-0.2, 2.5, -0.4)
(-0.1, 3.2, -0.4)
(-0.1, 3.2, -0.4)
(-0.3, 3.3, -0.6)
(-0.3, 3.3, -0.6)
(-0.1, 3.4, -0.6)
(-0.2, 3.3, -0.5)
(-0.1, 3.0, -0.7)
(-0.1, 3.0, -0.7)
(0.0, 3.0, -0.7)
(0.0, 3.0, -0.7)
