(0.0, -0.1, 0.0)
(0.0, -0.1, 0.0)
(-0.5, -0.1, -0.1)
(-0.5, -0.1, -0.1)
(-0.8, 0.0, -0.2)
(-0.8, 0.0, -0.2)
(-1.4, 0.0, -0.3)
(-1.4, 0.0, -0.3)
(-2.5, -0.1, -0.1)
(-3.1, 0.0, 0.1)
(-3.7, 0.3, 0.0)
(-3.7, 0.3, 0.0)
(-3.9, 0.3, 0.0)
(-3.9, 0.3, 0.0)
(-4.3, 0.3, -0.2)
(-4.6, 0.7, -0.6)
(-4.7, 0.8, -0.7)
(-4.5, 0.7, -0.7)
(-4.1, 0.3, -0.6)
(-4.1, 0.3, -0.6)
(-3.0, 0.2, -0.5)
(-3.0, 0.2, -0.5)
(-2.3, 0.1, -0.4)
(-2.3, 0.1, -0.4)
(-1.8, 0.2, -0.3)
(-1.3, 0.2, -0.3)
(-1.3, 0.2, -0.3)
(-0.6, -0.1, -0.2)
(-0.3, -0.2, -0.1)
(0.0, -0.3, 0.1)
(0.4, -0.2, 0.2)
(0.6, -0.1, 0.1)
(0.6, -0.1, 0.1)
(0.8, 0.0, 0.1)
