(0.0, 0.1, 0.0)
(-0.1, 0.0, -0.1)
(-0.1, -0.1, -0.1)
(-0.1, -0.1, -0.1)
(0.0, -0.3, -0.1)
(0.1, -0.4, -0.1)
(0.1, -0.3, -0.1)
(0.1, -0.2, -0.2)
(0.0, -0.1, -0.2)
(0.0, -0.1, -0.2)
(0.0, -0.1, -0.2)
(0.1, -0.2, -0.3)
(0.1, -0.3, -0.3)
(0.2, -0.4, -0.4)
(0.2, -0.4, -0.5)
(0.2, -0.5, -0.6)
(0.1, -0.7, -0.8)
(0.2, -0.8, -1.0)
(0.4, -0.9, -1.1)
(0.4, -0.9, -1.1)
(0.4, -1.0, -1.4)
(0.4, -1.1, -1.6)
(0.4, -1.2, -1.8)
(0.4, -1.2, -2.1)
(0.5, -1.3, -2.3)
(0.5, -1.3, -2.4)
(0.6, -1.3, -2.6)
(0.6, -1.3, -2.6)
(0.6, -1.4, -2.8)
(0.4, -1.4, -2.8)
(0.4, -1.4, -2.8)
(0.4, -1.4, -2.7)
(0.4, -1.4, -2.7)
(0.7, -1.4, -2.6)
(0.7, -1.4, -2.6)
(0.7, -0.9, -2.1)
(0.7, -0.9, -2.1)
(0.4, -0.7, -1.7)
(0.1, -0.7, -1.3)
(0.0, -0.7, -0.9)
(0.1, -0.6, -0.5)
(0.2, -0.4, -0.3)
(0.2, -0.3, 0.0)
(0.2, -0.3, 0.0)
(0.1, -0.1, 0.1)
(0.0, -0.1, 0.3)
(-0.1, -0.1, 0.4)
