(0.0, 0.0, 0.1)
(0.0, 0.0, 0.1)
(0.0, 0.0, 0.1)
(0.0, 0.0, 0.1)
(0.0, 0.0, 0.1)
(0.0, 0.0, 0.2)
(0.0, 0.0, 0.2)
(0.0, 0.1, 0.4)
(0.0, 0.1, 0.7)
(0.0, 0.2, 0.9)
(0.0, 0.2, 0.9)
(0.0, 0.4, 1.2)
(0.0, 0.5, 1.3)
(0.1, 0.6, 1.7)
(0.0, 0.6, 1.8)
(-0.1, 0.7, 1.8)
(-0.1, 0.9, 2.0)
(-0.1, 0.9, 2.0)
(0.0, 1.0, 2.2)
(0.0, 1.0, 2.2)
(-0.1, 1.0, 2.2)
(-0.1, 0.9, 2.2)
(-0.1, 0.9, 2.2)
(-0.1, 0.9, 2.1)
(-0.1, 0.9, 1.9)
(0.0, 1.0, 1.8)
(0.0, 1.1, 1.7)
(0.0, 1.1, 1.4)
(0.0, 0.9, 1.2)
(0.1, 0.6, 1.0)
(0.0, 0.0, 0.2)
(0.0, 0.0, 0.2)
(0.0, 0.0, 0.2)
(0.0, 0.0, 0.2)
(-0.1, 0.0, 0.0)
